fecha;hora;ad_name;ad_set_name;campanya;impresiones;clics;leads;inversion
2019-03-23;22;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;609;20;0;2.2
2019-03-19;10;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;320;13;0;0.87
2019-03-20;20;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;561;35;0;1.81
2019-03-18;15;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;326;29;0;1.78
2019-03-24;21;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;760;27;0;2.19
2019-03-22;17;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;445;20;0;1.35
2019-03-20;12;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;255;25;0;0.96
2019-03-19;12;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;430;17;0;1.12
2019-03-19;0;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;412;29;0;1.69
2019-03-19;20;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;414;23;0;1.3
2019-03-24;14;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;467;15;0;1.36
2019-03-23;20;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;440;27;0;1.98
2019-03-22;19;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;535;19;0;1.69
2019-03-22;23;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;648;22;0;2.46
2019-03-21;13;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;395;25;0;1.56
2019-03-18;20;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;397;26;0;2.04
2019-03-20;17;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;441;29;0;1.35
2019-03-24;22;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;483;22;0;1.38
2019-03-21;6;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;54;9;0;0.32
2019-03-19;19;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;339;15;0;0.96
2019-03-22;12;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;281;25;0;1.39
2019-03-21;10;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;255;19;0;1.16
2019-03-19;7;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;504;43;0;1.54
2019-03-20;18;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;454;23;0;1.42
2019-03-20;21;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;669;33;0;2.14
2019-03-19;9;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;412;25;0;1.17
2019-03-19;23;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;629;33;0;2.02
2019-03-20;9;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;244;23;0;0.74
2019-03-21;17;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;421;22;0;1.44
2019-03-20;7;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;221;18;0;0.66
2019-03-18;19;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;375;40;0;2
2019-03-23;21;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;558;30;0;2.3
2019-03-19;13;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;419;25;0;1.15
2019-03-19;21;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;714;46;0;2.35
2019-03-20;14;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;482;27;0;1.6
2019-03-19;14;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;460;25;0;1.39
2019-03-18;14;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;250;37;0;1.63
2019-03-18;16;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;232;24;0;1.48
2019-03-22;21;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;640;39;0;2.36
2019-03-21;16;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;492;34;0;2.1
2019-03-21;19;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;481;26;0;1.87
2019-03-18;18;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;321;31;0;1.51
2019-03-20;22;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;630;28;0;2.17
2019-03-21;21;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;834;38;0;2.92
2019-03-19;16;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;465;32;0;1.16
2019-03-18;23;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;743;57;0;2.36
2019-03-19;17;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;545;31;0;1.72
2019-03-21;20;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;714;32;0;2.78
2019-03-19;22;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;722;43;0;2.17
2019-03-19;15;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;607;42;0;1.71
2019-03-20;23;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;497;35;0;1.67
2019-03-18;22;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;863;53;0;3.26
2019-03-18;21;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;644;50;0;2.49
2019-03-20;15;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;640;46;0;2.12
2019-05-17;3;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;8;0;0;0.1
2019-05-08;18;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;38;0;0;0.33
2019-05-13;8;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;40;0;0;0.35
2019-05-05;4;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;3;0;0;0.04
2019-05-03;4;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;11;0;0;0.13
2019-05-10;23;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;93;1;0;1.15
2019-05-15;0;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;120;1;0;0.96
2019-05-01;3;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;2;0;0;0
2019-05-03;2;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;26;2;0;0.38
2019-05-01;12;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;232;1;0;3.19
2019-05-08;6;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;7;0;0;0.1
2019-05-10;1;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;71;1;0;0.79
2019-05-18;8;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;6;0;0;0.05
2019-05-13;19;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;28;0;0;0.28
2019-05-04;22;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;26;0;0;0.19
2019-05-15;4;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;16;0;0;0.06
2019-05-08;8;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;18;0;0;0.23
2019-05-04;8;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;9;0;0;0.09
2019-05-14;2;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;5;0;0;0.08
2019-05-04;19;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;36;0;0;0.51
2019-05-15;1;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;64;1;0;0.84
2019-05-10;5;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;22;0;0;0.21
2019-05-16;4;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;42;0;0;0.93
2019-05-03;11;Marca_Ene19_HyM_Anuncio5;Tratamiento_LeadAds_Mayo19_HYM;Tratamiento_LeadAds_Mayo19;168;1;0;2.21
