date, pm25, pm10, o3, no2, so2, co
2024/6/17, 58, 25, 31, 2, 2, 
2024/6/18, 69, 26, 25, 6, 2, 
2024/6/19, 40, 20, 31, 3, 2, 
2024/6/20, 27, 16, 34, 4, 2, 
2024/6/21, 26, 10, 39, 4, 2, 
2024/6/22, 24, 9, 29, 2, 2, 
2024/6/23, 29, 10, 26, 2, 2, 
2024/6/24, 31, 12, 27, 3, 2, 
2024/6/25, 32, 8, 36, 2, 2, 
2024/6/26, 24, 13, 37, 2, 2, 
2024/6/27, 31, 16, 34, 2, 2, 
2024/6/28, 49, 9, 31, 1, 2, 
2024/6/29, 24, 14, 37, 2, 2, 
2024/6/30, 46, 10, 36, 2, 2, 
2024/1/1, 34, 22, 31, 9, 1, 
2024/1/2, 33, 23, 23, 7, 1, 
2024/1/3, 31, 21, 15, 12, 1, 
2024/1/4, 47, 14, 29, 5, 1, 
2024/1/5, 20, 17, 30, 1, , 
2024/1/6, 16, 5, 31, 2, 1, 
2024/1/7, 9, 37, 30, 8, 1, 
2024/1/8, 29, 30, 20, 15, 1, 
2024/1/9, 45, 36, 21, 11, 1, 
2024/1/10, 58, 23, 16, 10, 1, 
2024/1/11, 42, 36, 20, 12, 1, 
2024/1/12, 54, 30, 15, 15, 2, 
2024/1/13, 81, 30, 24, 3, 1, 
2024/1/14, 48, 30, 22, 5, 1, 
2024/1/15, 37, 40, 30, 8, 1, 
2024/1/16, 40, 55, 34, 6, 1, 
2024/1/17, 54, 26, 31, 4, 1, 
2024/1/18, 26, 8, 23, 8, 1, 
2024/1/19, 26, 7, 21, 5, 1, 
2024/1/20, 26, 16, 25, 6, 1, 
2024/1/21, 54, 22, 13, 14, 2, 
2024/1/22, 61, 20, 15, 14, 2, 
2024/1/23, 52, 30, 12, 19, 2, 
2024/1/24, 73, 42, 12, 20, 2, 
2024/1/25, 100, 35, 19, 16, 2, 
2024/1/26, 75, 30, 21, 13, 1, 
2024/1/27, 88, 35, 30, 7, 1, 
2024/1/28, 103, 31, 20, 8, 1, 
2024/1/29, 77, 41, 15, 14, 1, 
2024/1/30, 86, 38, 16, 16, 1, 
2024/1/31, 83, 41, 17, 15, 2, 
2024/2/1, 86, 38, 17, 14, 1, 
2024/2/2, 77, 28, 22, 12, 1, 
2024/2/3, 76, 23, 23, 12, 1, 
2024/2/4, 70, 36, 26, 17, 2, 
2024/2/5, 74, 39, 15, 20, 2, 
2024/2/6, 81, 56, 21, 9, 1, 
2024/2/7, 69, 44, 29, 8, 1, 
2024/2/8, 57, 21, 27, 12, 1, 
2024/2/9, 49, 3, 32, 1, 1, 
2024/2/10, 6, 4, 28, 2, , 
2024/2/11, 15, 18, 28, 8, 1, 
2024/2/12, 23, 20, 23, 7, 1, 
2024/2/13, 27, 37, 9, 21, 2, 
2024/2/14, 66, 34, 29, 11, 1, 
2024/2/15, 71, 23, 17, 16, 1, 
2024/2/16, 73, 8, 28, 9, 1, 
2024/2/17, 23, 10, 30, 7, 1, 
2024/2/18, 36, 22, 22, 16, 1, 
2024/2/19, 45, 25, 25, 15, 1, 
2024/2/20, 47, 36, 27, 16, 1, 
2024/2/21, 73, 38, 14, 15, 1, 
2024/2/22, 87, 49, 31, 4, 1, 
2024/2/23, 29, 6, 33, 2, 1, 
2024/2/24, 10, 17, 29, , 1, 
2024/2/25, 20, 14, 26, 8, 1, 
2024/2/26, 18, 37, 36, 1, , 
2024/2/27, 25, 33, 31, 13, 1, 
2024/2/28, 30, 37, 42, 10, 1, 
2024/2/29, 33, 33, 33, 4, 1, 
2024/3/1, 26, 26, 52, 1, , 
2024/3/2, 32, 8, 40, , 1, 
2024/3/3, 10, 24, 26, 7, , 
2024/3/4, 24, 21, 33, 8, 1, 
2024/3/5, 31, 23, 34, 8, 1, 
2024/3/6, 44, 21, 30, 7, , 
2024/3/7, 52, 32, 27, 8, , 
2024/3/8, 26, 7, 31, 8, , 
2024/3/9, 21, , , , , 
2024/3/19, 127, 38, 42, 4, , 
2024/3/20, 99, 30, 35, 8, 1, 
2024/3/21, 77, 46, 25, 14, 2, 
2024/3/22, 84, 37, 30, 11, 1, 
2024/3/23, 67, 24, 35, 5, 1, 
2024/3/24, 64, 16, 24, 7, 1, 
2024/3/25, 55, 17, 28, 5, 1, 
