date, pm25, pm10, o3, no2, so2, co
2024/8/5, 52, 11, 25, , 1, 
2024/8/6, 49, 10, 14, 2, , 
2024/8/7, 46, 8, 33, 3, 2, 
2024/8/8, 29, 9, 30, 4, 2, 
2024/8/9, 37, 7, 36, 3, 2, 
2024/8/10, 28, 6, 36, 1, 2, 
2024/8/11, 24, 8, 30, 2, 2, 
2024/8/12, 28, 9, 28, 1, 2, 
2024/8/13, 36, 8, 31, 2, 2, 
2024/8/14, 28, , , , , 
2024/8/19, 39, , , , , 
2024/8/23, 65, 14, 34, 1, 4, 
2024/8/24, 58, 15, 26, , 4, 
2024/8/25, 55, 9, 25, 1, 3, 
2024/8/26, 38, , , , , 
2024/8/30, 5, 1, 35, 1, 6, 
2024/8/31, 5, 1, 31, , 6, 
2024/9/1, 5, 1, 30, 5, 7, 
2024/9/2, 5, 1, 35, 4, 7, 
2024/9/3, 5, 6, 24, 4, 3, 
2024/9/4, 27, 3, 26, 3, 1, 
2024/9/5, 13, 6, 30, 5, 1, 
2024/9/6, 26, 6, 29, 2, 1, 
2024/9/7, 22, 5, 29, 2, 1, 
2024/9/8, 15, 5, 31, 3, 1, 
2024/9/9, 14, 5, 33, 2, 1, 
2024/9/10, 17, 6, 32, 2, 1, 
2024/9/11, 24, 6, 34, 4, 2, 
2024/9/12, 21, 3, 27, 1, 1, 
2024/9/13, 9, 3, 30, 1, 1, 
2024/9/14, 10, 3, 32, 1, 1, 
2024/9/15, 12, 4, 28, 5, 1, 
2024/9/16, 14, 4, 30, 4, 1, 
2024/9/17, 13, 3, 30, 3, 1, 
2024/9/18, 15, 4, 23, 4, 2, 
2024/9/19, 18, 5, 27, 5, 2, 
2024/9/20, 24, 4, 31, 2, 2, 
2024/9/21, 20, 7, 29, 1, 2, 
2024/9/22, 35, 12, 28, 4, 2, 
2024/9/23, 52, 14, 30, 5, 2, 
2024/9/24, 48, 7, 27, 2, 2, 
2024/9/25, 16, 11, 19, 2, , 
2024/9/27, 10, 2, 26, 2, 2, 
2024/9/28, 7, 3, 27, 1, 1, 
2024/9/29, 12, 4, 22, 5, 2, 
2024/9/30, 14, 5, 27, 4, 2, 
2024/4/1, 6, 5, 28, 7, 1, 
2024/4/2, 12, 7, 29, 9, 1, 
2024/4/3, 20, 8, 33, 11, 1, 
2024/4/4, 26, 13, 36, 11, 1, 
2024/4/5, 45, 12, 39, 8, 1, 
2024/4/6, 47, 18, 35, 6, 1, 
2024/4/7, 62, 16, 30, 8, 1, 
2024/4/8, 41, 5, 31, 5, 1, 
2024/4/9, 11, 8, 34, 10, 1, 
2024/4/10, 15, 7, 33, 9, 1, 
2024/4/11, 22, 8, 30, 13, 1, 
2024/4/12, 21, 11, 33, 14, , 
2024/4/13, 30, 9, 38, 8, 1, 
2024/4/14, 27, 20, 27, 18, , 
2024/4/15, 54, 12, 33, 11, 1, 
2024/4/16, 33, 9, 34, 9, 1, 
2024/4/17, 26, 8, 33, 11, , 
2024/4/18, 24, 5, 34, 8, , 
2024/4/19, 19, 5, 39, 7, , 
2024/4/20, 19, 5, 43, 5, , 
2024/4/21, 17, 6, 38, 6, , 
2024/4/22, 21, 6, 38, 7, 1, 
2024/4/23, 12, 7, 35, 5, 1, 
2024/4/24, 13, 5, 34, 7, 1, 
2024/4/25, 17, 9, 39, 8, 1, 
2024/4/26, 36, 8, 32, 6, 1, 
2024/4/27, 32, 4, 36, 5, 1, 
2024/4/28, 15, 5, 30, 8, 1, 
2024/4/29, 24, 7, 30, 7, 1, 
2024/4/30, 25, 4, 34, 2, , 
2024/5/1, 8, 4, 33, 4, 1, 
2024/5/2, 8, 6, 34, 8, 1, 
2024/5/3, 14, 7, 37, 10, 2, 
2024/5/4, 25, 9, 34, 9, 2, 
2024/5/5, 33, 6, 32, 6, 1, 
2024/5/6, 15, 6, 31, 8, 1, 
2024/5/7, 19, 6, 32, 8, 1, 
2024/5/8, 14, 8, 32, 9, 1, 
2024/5/9, 21, 8, 33, 10, 1, 
2024/5/10, 23, 5, 36, 4, 1, 
2024/5/11, 17, 7, 41, , 1, 
2024/5/12, 28, 6, 40, , 1, 
2024/5/13, 19, 8, 29, 1, 1, 
2024/5/14, 29, 6, 31, 2, 1, 
2024/5/15, 22, 12, 33, 5, 1, 
2024/5/16, 18, 10, 32, 11, 1, 
2024/5/17, 21, 6, 37, 4, 2, 
2024/5/18, 25, 6, 32, 3, 1, 
2024/5/19, 27, 5, 32, 4, 1, 
2024/5/20, 19, 7, 34, 7, 2, 
2024/5/21, 25, 5, 38, 7, 1, 
2024/5/22, 16, 7, 37, 7, 2, 
2024/5/23, 23, 7, 32, 5, 2, 
2024/5/24, 27, 6, 30, 4, 2, 
2024/5/25, 25, 8, 33, 2, 1, 
2024/5/26, 33, 9, 31, 3, 2, 
2024/5/27, 38, 5, 27, 5, 2, 
2024/5/28, 20, 8, 30, 8, 2, 
2024/5/29, 27, 8, 34, 9, 2, 
2024/5/30, 25, 5, 28, 7, 2, 
2024/5/31, 20, 5, 35, 4, 2, 
2024/6/1, 19, 4, 33, 4, 2, 
2024/6/2, 16, 4, 30, 6, 2, 
2024/6/3, 18, 5, 28, 10, 2, 
2024/6/4, 18, 7, 33, 7, 2, 
2024/6/5, 24, 6, 32, 7, 2, 
2024/6/6, 24, 7, 38, 6, 2, 
2024/6/7, 26, 9, 39, 1, 2, 
2024/6/8, 26, 4, 36, , 2, 
2024/6/9, 15, 4, 27, 3, 2, 
2024/6/10, 18, 7, 25, 3, 2, 
2024/6/11, 31, 6, 21, 3, 2, 
2024/6/12, 25, 10, 30, 4, 2, 
2024/6/13, 38, 25, 33, 5, 2, 
2024/6/14, 77, 18, 34, 4, 2, 
2024/6/15, 62, 14, 30, , 2, 
2024/6/16, 55, 23, 31, 2, 2, 
2024/6/17, 75, 31, 31, 3, 2, 
2024/6/18, 93, 23, 27, , 1, 
2024/6/19, 68, 18, 31, 4, 1, 
2024/6/20, 43, 11, 35, 6, 1, 
2024/6/21, 34, 13, 38, 5, 1, 
2024/6/22, 42, 12, 28, 4, 1, 
2024/6/23, 45, 14, 26, 5, , 
2024/6/24, 50, 12, 30, 6, 1, 
2024/6/25, 48, 9, 37, 5, 1, 
2024/6/26, 39, 16, 37, 6, 1, 
2024/6/27, 50, 18, 33, 5, 1, 
2024/6/28, 63, 17, 34, 4, , 
2024/6/29, 51, 18, 37, 5, 1, 
2024/6/30, 62, 12, 35, 5, 1, 
2024/1/1, 26, 10, 25, 7, 1, 
2024/1/2, 22, 8, 24, 5, 1, 
2024/1/3, 17, 10, 16, 14, 1, 
2024/1/4, 33, 5, 30, 5, 1, 
2024/1/5, 16, 6, 27, 1, 1, 
2024/1/6, 9, 4, 29, 2, 1, 
2024/1/7, 7, 11, 27, 8, 1, 
2024/1/8, 18, 11, 22, 14, 1, 
2024/1/9, 31, 12, 18, 11, 1, 
2024/1/10, 39, 7, 17, 10, 1, 
2024/1/11, 25, 12, 20, 12, 1, 
2024/1/12, 37, 20, 15, 14, 1, 
2024/1/13, 65, 16, 30, 5, 1, 
2024/1/14, 39, 8, 34, 4, 1, 
2024/1/15, 19, 11, 33, 6, 1, 
2024/1/16, 24, 21, 32, 5, 1, 
2024/1/17, 30, 5, 30, 3, 1, 
2024/1/18, 10, 3, 22, 7, 1, 
2024/1/19, 12, 4, 20, 6, 1, 
2024/1/20, 17, 11, 24, 8, 1, 
2024/1/21, 43, 13, 17, 13, 2, 
2024/1/22, 46, 14, 29, 14, 1, 
2024/1/23, 45, 20, 27, 18, 2, 
2024/1/24, 59, 27, 10, 19, 2, 
2024/1/25, 76, 21, 13, 18, 1, 
2024/1/26, 61, 23, 12, 16, 2, 
2024/1/27, 73, 26, 22, 9, 1, 
2024/1/28, 83, 18, 16, 10, 1, 
2024/1/29, 61, 25, 11, 17, 2, 
2024/1/30, 72, 22, 15, 17, 2, 
2024/1/31, 68, 22, 14, 15, 2, 
2024/2/1, 66, 19, 17, 14, 2, 
2024/2/2, 59, 19, 19, 14, 1, 
2024/2/3, 60, 17, 20, 12, 1, 
2024/2/4, 57, 20, 24, 16, 2, 
2024/2/5, 58, 25, 11, 20, 2, 
2024/2/6, 67, 20, 25, 8, 1, 
2024/2/7, 50, 16, 32, 6, 1, 
2024/2/8, 40, 10, 26, 12, 1, 
2024/2/9, 35, 2, 36, 2, 1, 
2024/2/10, 7, 3, 32, 3, 1, 
2024/2/11, 9, 6, 27, 7, 1, 
2024/2/12, 13, 5, 25, 7, 1, 
2024/2/13, 17, 17, 5, 23, 2, 
2024/2/14, 50, 16, 34, 14, 2, 
2024/2/15, 55, 17, 29, 15, 1, 
2024/2/16, 57, 4, 44, 10, 1, 
2024/2/17, 16, 6, 57, 9, 1, 
2024/2/18, 25, 11, 30, 15, 2, 
2024/2/19, 34, 9, 21, 13, 2, 
2024/2/20, 28, 16, 24, 15, 2, 
2024/2/21, 53, 22, 24, 10, 2, 
2024/2/22, 44, 9, 28, 3, 1, 
2024/2/23, 11, 3, 29, 3, 1, 
2024/2/24, 8, 5, 25, 3, 1, 
2024/2/25, 11, 4, 25, 4, 1, 
2024/2/26, 8, 6, 30, 2, 1, 
2024/2/27, 8, 10, 28, 11, 2, 
2024/2/28, 17, 11, 34, 10, , 
2024/2/29, 17, 9, 29, 3, 1, 
2024/3/1, 17, 10, 41, 3, , 
2024/3/2, 22, 6, 32, 1, 1, 
2024/3/3, 8, 5, 23, 5, , 
2024/3/4, 11, 7, 28, 8, , 
2024/3/5, 19, 8, 29, 10, , 
2024/3/6, 27, 13, 26, 11, , 
2024/3/7, 44, 4, 27, 5, , 
2024/3/8, 11, 4, 28, 9, , 
2024/3/9, 14, , , , , 
2024/3/19, 88, 20, 33, 7, 1, 
2024/3/20, 70, 14, 29, 9, 1, 
2024/3/21, 52, 20, 23, 14, 1, 
2024/3/22, 58, 18, 25, 13, 1, 
2024/3/23, 51, 12, 28, 7, 1, 
2024/3/24, 41, 8, 23, 10, 1, 
2024/3/25, 34, 6, 27, 6, 1, 
2024/3/26, 18, 6, 28, 4, , 
2024/3/27, 11, 5, 30, 6, 1, 
2024/3/28, 16, 4, 28, 7, 1, 
2024/3/29, 15, 3, 30, 4, 1, 
2024/3/30, 10, 1, 35, 3, 1, 
2024/3/31, 8, 2, 32, 1, 1, 
2023/10/1, 24, 9, 33, 8, 1, 
2023/10/2, 21, 15, 34, 5, 1, 
2023/10/3, 33, 16, 33, 1, , 
2023/10/4, 35, 17, 31, 1, 1, 
2023/10/5, 38, 16, 33, 1, 1, 
2023/10/6, 39, 17, 36, , 1, 
2023/10/7, 37, 17, 34, , 1, 
2023/10/8, 35, 15, 41, , 1, 
2023/10/9, 34, 12, 37, , 1, 
2023/10/10, 29, 14, 39, , 1, 
2023/10/11, 30, 18, 46, , 1, 
2023/10/12, 38, 15, 28, 16, 1, 
2023/10/13, 34, 16, 22, 16, , 
2023/10/14, 34, 10, 28, 12, 1, 
2023/10/15, 21, 11, 34, 16, 1, 
2023/10/16, 26, 14, 28, 13, 1, 
2023/10/17, 33, 9, 25, 4, 1, 
2023/10/18, 22, 3, 32, 5, 1, 
2023/10/19, 5, 3, 31, 3, 2, 
2023/10/20, 5, 2, 25, 9, 1, 
2023/10/21, 7, 3, 32, 5, 1, 
2023/10/22, 10, 3, 29, 5, 1, 
2023/10/23, 8, 1, 26, 3, 1, 
2023/10/24, 6, 1, 25, 4, 1, 
2023/10/25, 5, 1, 29, 4, 1, 
2023/10/27, 5, 1, 29, 4, 1, 
2023/10/28, 6, 2, 31, 8, 1, 
2023/10/29, 7, 2, 30, 5, 1, 
2023/10/30, 7, 4, 20, 13, 1, 
2023/10/31, 10, 3, 35, 6, 1, 
2023/11/1, 11, 15, 33, 3, 1, 
2023/11/2, 17, 3, 25, 3, , 
2023/11/3, 6, 2, 32, 3, 1, 
2023/11/4, 5, 1, 31, 4, 1, 
2023/11/5, 5, 1, 26, 6, 1, 
