date, pm25, pm10, o3, no2, so2, co
2024/5/10, 10, 5, 43, 3, , 
2024/5/11, 9, 3, 39, 3, , 
2024/5/12, 8, 5, 42, 4, 1, 
2024/5/13, 11, 5, 35, 4, 1, 
2024/5/14, 13, 4, 33, 3, 1, 
2024/5/15, 9, 4, 37, 2, , 
2024/5/16, 15, 5, 35, 3, 1, 
2024/5/17, 10, 7, 37, 2, 1, 
2024/5/18, 19, 11, 37, 2, , 
2024/5/19, 37, 5, 33, 2, 1, 
2024/5/20, 17, 8, 33, 3, , 
2024/5/21, 28, 3, 41, 3, 1, 
2024/5/22, 9, 6, 40, 2, , 
2024/5/23, 21, 8, 39, 3, , 
2024/5/24, 30, 10, 37, 2, 1, 
2024/5/25, 35, 11, 35, 3, 1, 
2024/5/26, 41, 14, 35, 3, , 
2024/5/27, 46, 12, 29, 3, 1, 
2024/5/28, 38, 10, 39, 3, , 
2024/5/29, 23, 16, 38, 3, 1, 
2024/5/30, 24, 6, 36, 3, , 
2024/5/31, 15, 8, 34, 2, 1, 
2024/6/1, 26, 4, 36, 2, 1, 
2024/6/2, 14, 6, 37, 3, 1, 
2024/6/3, 19, 5, 37, 3, 1, 
2024/6/4, 13, 7, 41, 4, 1, 
2024/6/5, 18, 7, 42, 5, , 
2024/6/6, 15, 9, 43, 3, 1, 
2024/6/7, 15, 19, 43, 3, , 
2024/6/8, 23, 3, 37, 2, 1, 
2024/6/9, 11, 8, 29, 4, , 
2024/6/10, 25, 8, 20, 5, 1, 
2024/6/11, 31, 5, 23, 3, , 
2024/6/12, 18, 6, 37, 3, 1, 
2024/6/13, 19, 9, 44, 4, 1, 
2024/6/14, 30, 8, 36, 4, , 
2024/6/15, 23, 10, 30, 4, 1, 
2024/6/16, 37, 10, 35, 5, , 
2024/6/17, 35, 14, 37, 5, 1, 
2024/6/18, 45, 6, 33, 3, 1, 
2024/6/19, 19, 6, 34, 3, 1, 
2024/6/20, 19, 3, 40, 3, , 
2024/6/21, 8, 5, 43, 3, , 
2024/6/22, 11, 4, 30, 4, , 
2024/6/23, 13, 7, 28, 5, 1, 
2024/6/24, 19, 6, 34, 5, 1, 
2024/6/25, 15, 5, 9, 6, 1, 
2024/6/26, 19, 19, 39, 3, 1, 
2024/6/27, 24, 15, 40, 3, 1, 
2024/6/28, 30, 7, 35, 2, , 
2024/6/29, 20, 12, 38, 3, , 
2024/6/30, 31, 7, 34, 4, 1, 
2024/1/1, 10, 8, 27, 1, 2, 
2024/1/2, 14, 2, 26, 1, 1, 
2024/1/3, 7, 7, 22, 3, 1, 
2024/1/4, 28, 2, 27, 1, 1, 
2024/1/5, 9, 4, 26, , , 
2024/1/6, 7, 1, 28, , 1, 
2024/1/8, 17, 5, 24, 1, 1, 
2024/1/9, 16, 9, 19, 1, 1, 
2024/1/10, 34, 2, 21, , 1, 
2024/1/11, 9, 6, 22, 1, 1, 
